beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
Butterbeer,Hog's Head Pub,Non-Alcoholic Beer,0,0,,Warner Bros. Studio Tour London - The Making of Harry Potter,Leavesden Green,Hertfordshire,United Kingdom,51.6895,-0.419315,4.5,25/07/2014 22:23,https://untappd.com/c/102092327,https://untappd.com/beer/81545,https://untappd.com/brewery/8249,United States,Orlando,FL,,,,102092327,81545,8249,,0,0,,0,0
Xmas Donkey (2014),Santorini Brewing Co.,Dark Ale,0,0,,,,,,,,3.5,27/07/2014 15:37,https://untappd.com/c/102770140,https://untappd.com/beer/683124,https://untappd.com/brewery/19919,Greece,Σαντορίνη,84700,,,,102770140,683124,19919,,0,3.55,,0,0
Maisel's Weisse Alkoholfrei,Brauerei Gebr. Maisel,Non-Alcoholic Beer,0,10,,Bohemia Bar,North Finchley,Greater London,United Kingdom,51.6153,-0.176607,4.25,29/05/2015 21:38,https://untappd.com/c/187429640,https://untappd.com/beer/78975,https://untappd.com/brewery/209,Germany,Bayreuth,Bayern,,,,187429640,78975,209,https://untappd.s3.amazonaws.com/photo/2015_05_29/67755e69544e51d78b8c3b8ce14713c2_raw.jpg,3.18,3.2,,0,0
Bitburger Pils 0.0 Drive,Bitburger Brauerei,Non-Alcoholic Beer,0,25,,The John Baird,Muswell Hill,Greater London,United Kingdom,51.5904,-0.147036,3,30/05/2015 20:32,https://untappd.com/c/187952939,https://untappd.com/beer/46303,https://untappd.com/brewery/131,Germany,Bitburg,Rheinland-Pfalz,,,,187952939,46303,131,https://untappd.s3.amazonaws.com/photo/2015_05_30/e82c5a13abbe799e5842eb6a8b687036_raw.jpg,2.23,2.3,,0,0
"VELTINS Pilsener alkoholfrei 0,0%",Brauerei VELTINS,Non-Alcoholic Beer,0,0,,Bohemia Bar,North Finchley,Greater London,United Kingdom,51.6153,-0.176607,2.75,27/06/2015 22:16,https://untappd.com/c/197446242,https://untappd.com/beer/87363,https://untappd.com/brewery/207,Germany,Meschede,Nordrhein-Westfalen,,,,197446242,87363,207,https://untappd.s3.amazonaws.com/photo/2015_06_27/a7f726949ef24b25fdab05caec69f746_raw.jpg,2.2,2.3,,0,0
Root Beer Cane Sugar,Boylan Bottling Co,Root Beer,0,0,,,,,,,,4,30/10/2015 22:38,https://untappd.com/c/240338208,https://untappd.com/beer/1153113,https://untappd.com/brewery/213347,United States,,,,,,240338208,1153113,213347,https://untappd.s3.amazonaws.com/photo/2015_10_30/9d6e418c9ab5d2d0c3d76f4c6559a8fd_raw.jpg,0,0,,0,0
Bavaria 0.0% Wit,Royal Swinkels Family Brewers,Non-Alcoholic Beer,0,6,Nice,Turnford,Broxbourne,Hertfordshire,United Kingdom,51.7283,-0.0245209,4,09/01/2016 23:09,https://untappd.com/c/265345590,https://untappd.com/beer/16805,https://untappd.com/brewery/109,Netherlands,Lieshout,Noord-Brabant,,,,265345590,16805,109,https://untappd.s3.amazonaws.com/photo/2016_01_09/0412e2c13929a67c31dcc8e9083bd1ce_raw.jpg,2.56,2.59,,1,0
Bavaria 0.0% Wit,Royal Swinkels Family Brewers,Non-Alcoholic Beer,0,6,,Turnford,Broxbourne,Hertfordshire,United Kingdom,51.7283,-0.0245209,3.75,20/01/2016 18:18,https://untappd.com/c/268697024,https://untappd.com/beer/16805,https://untappd.com/brewery/109,Netherlands,Lieshout,Noord-Brabant,,,,268697024,16805,109,https://untappd.s3.amazonaws.com/photo/2016_01_20/592d91b8e645ed83c063ca05e10b3606_raw.jpg,2.56,2.59,,0,0
Old Jamaican Jerk Juice,Dr Lea's Brewhouse,Ginger Beer,0,0,Big ginger warming that creeps up on you.,Lincoln,Lincolnshire,Lincolnshire,United Kingdom,53.2275,-0.54021,4.25,07/02/2016 13:10,https://untappd.com/c/274937235,https://untappd.com/beer/1420259,https://untappd.com/brewery/251553,England,,,,,,274937235,1420259,251553,https://untappd.s3.amazonaws.com/photo/2016_02_07/2f37fc70948743740880b74886d8be5b_raw.jpg,3.2,3.25,,1,0
Maisel's Weisse Alkoholfrei,Brauerei Gebr. Maisel,Non-Alcoholic Beer,0,10,,Bohemia Bar,North Finchley,Greater London,United Kingdom,51.6153,-0.176607,4.25,12/03/2016 22:00,https://untappd.com/c/287120389,https://untappd.com/beer/78975,https://untappd.com/brewery/209,Germany,Bayreuth,Bayern,,,,287120389,78975,209,https://untappd.s3.amazonaws.com/photo/2016_03_12/f83e73f2ca79cef04303af119581da27_raw.jpg,3.18,3.2,,0,0
